GENERAL FEATURES
media queries
custom properties (variables)
@font-face
@supports
prefers-color-scheme
-webkit aliases

CORE
display 0.92071153
position 0.91309196
box-sizing 0.85195623
alias-webkit-box-sizing 0.55928514
z-index 0.84586622
zoom 0.2759575

TEXT DIRECTION
direction 0.42214679
unicode-bidi 0.13006045
writing-mode 0.01857197
all 0.09901406

OVERFLOW AND CLIPPING
overflow 0.86854822
overflow-y 0.66249463
overflow-x 0.62722518
clip-path 0.32584812
clip 0.49918069
mask-image 0.15661625
webkit-mask-image 0.19439423
mask 0.14959209
webkit-clip-path 0.1082283
webkit-mask 0.10789596
webkit-mask-size 0.09123412
mask-size 0.0836767
mask-position 0.07437063
webkit-mask-position 0.07071188
mask-repeat 0.06237656
webkit-mask-repeat 0.06711486
mask-composite 0.05903236
webkit-mask-composite 0.06539497

GENERATED
content 0.80151663

COMPOSITION & EFFECTS
opacity 0.86344583
visibility 0.74700558
filter 0.42132191
webkit-filter 0.17322781
backdrop-filter 0.22180693
mix-blend-mode 0.07500218
background-blend-mode 0.0725943

VISIBILTY & CONTAINEMENT
contain 0.18298761
isolation 0.1002659
content-visibility 0.04227816

ASPECT RATIO
aspect-ratio 0.22628388
object-fit 0.4391425
object-position 0.15279275

FLOAT
float 0.77137663
clear 0.64203844

SIZE
width 0.92567368
height 0.91936627
max-width 0.81620725
min-height 0.78411344
min-width 0.7648829
max-height 0.71288784

RELATIVE SIZE
inline-size 0.08957
block-size 0.08910162
min-inline-size 0.08650008
min-block-size 0.08206984
max-inline-size 0.08142461
max-block-size 0.08041445

PADDING/MARGIN
padding 0.91639836
padding-left 0.80210843
padding-top 0.79706246
padding-right 0.78304568
padding-bottom 0.7782461
margin 0.91358688
margin-top 0.88567884
margin-bottom 0.8303267
margin-left 0.8300972
margin-right 0.8243143

RELATIVE PADDING/MARGIN
margin-inline-start 0.1897093
margin-inline-end 0.16351099
padding-inline-start 0.15757995
padding-inline 0.15067325
padding-block 0.1335459
padding-inline-end 0.13124019
margin-block-start 0.12344842
margin-block-end 0.11468047
margin-inline 0.105969
webkit-margin-start 0.1035573
webkit-margin-start 0.1035573
webkit-padding-start 0.1032294
webkit-padding-start 0.1032294
margin-block 0.10056265
webkit-margin-end 0.09825843
webkit-margin-end 0.09825843
webkit-padding-end 0.0970469
webkit-margin-before 0.08357487
padding-block-end 0.08265714
padding-block-start 0.08252523
webkit-margin-after 0.0720602
webkit-padding-after 0.06441302
webkit-padding-before 0.064267

BORDER
border 0.90920255
border-bottom 0.75331177
border-top 0.72316296
border-left 0.63380638
border-right 0.61913678
border-width 0.65733536
border-bottom-width 0.27999372
border-left-width 0.25129945
border-top-width 0.24974623
border-right-width 0.24955782
border-block-end-width 0.06509279
webkit-border-end 0.06471178
webkit-border-start 0.06457061
border-block-end-color 0.06243153
webkit-border-after 0.06119132
webkit-border-after 0.06119132
webkit-border-before 0.06005011

RELATIVE BORDER
border-inline-start 0.07574543
border-inline-end 0.07475255
border-block-end 0.06991572
border-block-start 0.06731191

BORDER STYLE
border-style 0.60648564
border-bottom-style 0.18171376
border-top-style 0.12959167
border-left-style 0.09080228
border-right-style 0.08159142

BORDER COLOR
border-color 0.75368228
border-bottom-color 0.42017106
border-top-color 0.41524498
border-left-color 0.34488334
border-right-color 0.33183024

BORDER RADIUS
border-radius 0.85179866
alias-webkit-border-radius 0.39698686
alias-webkit-border-top-right-radius 0.11285223
alias-webkit-border-top-left-radius 0.11080954
alias-webkit-border-bottom-right-radius 0.10503618
alias-webkit-border-bottom-left-radius 0.10413253
border-top-right-radius 0.52623921
border-top-left-radius 0.5214813
border-bottom-right-radius 0.4983177
border-bottom-left-radius 0.49778252
border-end-start-radius 0.09368597
border-start-end-radius 0.09345299
border-end-end-radius 0.0952395
border-start-start-radius 0.09491384

BORDER IMAGE
border-image 0.05583707

INSET
top 0.89926495
left 0.89559083
right 0.82451497
bottom 0.80345449
inset 0.26722665
inset-inline-start 0.11712433
inset-inline-end 0.09618934
inset-block-start 0.0894308
inset-inline 0.07390323
inset-block 0.06856679
inset-block-end 0.06472611

FONT
font-size 0.89500375
font-family 0.8777729
font-weight 0.87740272
font-style 0.78466821
font 0.64410713
font-display 0.48411846
font-variant 0.28150351
font-feature-settings 0.19015596
font-stretch 0.14397099
font-variation-settings 0.11362022
webkit-font-feature-settings 0.08865216
font-variant-ligatures 0.06403768

TEXT
color 0.89840448
text-align 0.87687087
line-height 0.85628794
text-decoration 0.83463559
